time,speed_mph,accel_x,lat,lon
0.0,0.0,-3.35,33.982909,-118.297853
1.0,7.1,3.17,33.983073,-118.29781
2.0,10.95,1.72,33.983246,-118.297765
3.0,15.15,1.88,33.983424,-118.297713
4.0,20.79,2.52,33.983602,-118.297662
5.0,18.56,-1.0,33.983783,-118.297615
6.0,13.01,-2.48,33.983958,-118.297572
7.0,7.91,-2.28,33.98413,-118.297535
8.0,6.78,-0.51,33.98431,-118.297496
9.0,0.0,-3.13,33.98449,-118.297452
10.0,0.0,-1.49,33.984661,-118.297415
11.0,1.84,0.82,33.984842,-118.297374
12.0,2.53,0.31,33.985023,-118.297326
13.0,8.88,2.84,33.985199,-118.297279
14.0,3.57,-2.37,33.985375,-118.297227
15.0,5.39,0.82,33.98554,-118.297187
16.0,11.3,2.64,33.985707,-118.297135
17.0,18.04,3.01,33.985883,-118.297089
18.0,18.71,0.3,33.986061,-118.297049
19.0,22.64,1.76,33.986237,-118.297008
20.0,27.5,2.17,33.986405,-118.296972
21.0,20.05,-3.33,33.986577,-118.296931
22.0,16.17,-1.74,33.986751,-118.29689
23.0,16.42,0.11,33.986918,-118.296843
24.0,20.32,1.74,33.987085,-118.2968
25.0,23.34,1.35,33.987254,-118.29675
26.0,21.2,-0.95,33.987423,-118.296703
27.0,18.7,-1.12,33.987606,-118.296653
28.0,23.88,2.32,33.98778,-118.296612
29.0,22.24,-0.73,33.98796,-118.29656
30.0,19.12,-1.4,33.988138,-118.296509
31.0,14.26,-2.17,33.988305,-118.296472
32.0,14.97,0.32,33.988488,-118.296434
33.0,21.66,2.99,33.988669,-118.296394
34.0,21.68,0.01,33.988843,-118.29636
35.0,18.03,-1.63,33.989025,-118.296318
36.0,17.62,-0.18,33.989199,-118.296271
37.0,12.89,-2.12,33.989372,-118.296221
38.0,11.2,-0.76,33.989554,-118.296184
39.0,4.49,-3.0,33.989732,-118.29615
40.0,0.0,-2.41,33.989905,-118.2961
41.0,0.0,-2.36,33.990084,-118.296065
42.0,0.0,-2.64,33.99026,-118.296017
43.0,5.81,2.6,33.990425,-118.295976
44.0,3.93,-0.84,33.990602,-118.29593
45.0,0.0,-2.13,33.99077,-118.295888
46.0,0.0,-3.09,33.990944,-118.295854
47.0,2.58,1.15,33.99111,-118.295817
48.0,0.0,-1.89,33.991275,-118.295781
49.0,0.62,0.28,33.991454,-118.295744
50.0,0.0,-1.61,33.991631,-118.2957
51.0,0.0,-2.33,33.991809,-118.295663
52.0,1.97,0.88,33.991981,-118.295622
53.0,8.92,3.11,33.992159,-118.295585
54.0,11.4,1.11,33.992338,-118.295552
55.0,6.04,-2.39,33.992503,-118.29551
56.0,0.24,-2.6,33.992682,-118.295468
57.0,0.0,-1.19,33.992858,-118.295424
58.0,0.44,0.2,33.993034,-118.29539
59.0,1.88,0.64,33.993217,-118.295355
60.0,7.11,2.34,33.993387,-118.29531
61.0,3.4,-1.66,33.993565,-118.295265
62.0,6.72,1.49,33.993735,-118.295223
63.0,13.94,3.23,33.993899,-118.295176
64.0,8.22,-2.55,33.994076,-118.295129
65.0,15.63,3.31,33.994246,-118.295092
66.0,19.12,1.56,33.994413,-118.295044
67.0,14.22,-2.19,33.994583,-118.295011
68.0,17.45,1.44,33.994753,-118.294978
69.0,23.15,2.55,33.994936,-118.294926
70.0,21.13,-0.9,33.995108,-118.294886
71.0,18.92,-0.98,33.995277,-118.294838
72.0,16.24,-1.2,33.995454,-118.2948
73.0,15.83,-0.18,33.995638,-118.29476
74.0,21.35,2.47,33.995812,-118.294721
75.0,29.07,3.45,33.995993,-118.294687
76.0,34.46,2.41,33.996159,-118.294643
77.0,31.97,-1.11,33.996333,-118.294606
78.0,33.55,1.47,33.996506,-118.294558
79.0,38.94,2.41,33.996679,-118.294518
80.0,37.45,-0.67,33.996858,-118.294468
81.0,39.65,0.99,33.997036,-118.294432
82.0,42.84,1.43,33.997203,-118.294379
83.0,44.95,0.94,33.997373,-118.294337
84.0,48.5,1.59,33.997547,-118.294296
85.0,47.99,-0.23,33.997712,-118.294252
86.0,42.68,-2.38,33.997896,-118.294211
87.0,43.02,0.15,33.998063,-118.294161
88.0,45.69,1.2,33.998228,-118.294111
89.0,33.55,-0.01,33.998398,-118.294076
90.0,32.23,-0.59,33.998568,-118.294027
91.0,26.5,-2.56,33.998736,-118.293986
92.0,26.88,0.17,33.998908,-118.293946
93.0,23.05,-1.71,33.99908,-118.293904
94.0,24.93,0.84,33.999258,-118.293853
95.0,26.68,0.78,33.999432,-118.293818
96.0,30.13,1.54,33.999604,-118.293772
97.0,25.03,-2.28,33.999777,-118.293735
98.0,18.98,-2.7,33.999947,-118.293685
99.0,23.47,2.01,34.000117,-118.293646
100.0,16.29,-3.21,34.000295,-118.293607
101.0,20.23,1.76,34.000463,-118.293565
102.0,23.35,1.39,34.000627,-118.293526
103.0,15.85,-3.35,34.000801,-118.293474
104.0,11.16,-2.09,34.000984,-118.293423
