time,mph,accel,lat,lon
0,40,4.0,34.02,-117.02
1,42,3.8,34.020100000000006,-117.0201
2,45,4.2,34.0202,-117.0202
3,48,3.9,34.020300000000006,-117.02029999999999
4,50,4.5,34.0204,-117.0204
5,52,-5.0,34.020500000000006,-117.0205
6,10,-4.2,34.0206,-117.0206
7,8,-4.8,34.020700000000005,-117.02069999999999
8,55,4.9,34.0208,-117.0208
9,60,5.5,34.020900000000005,-117.0209
10,62,4.0,34.021,-117.021
11,5,-3.9,34.021100000000004,-117.02109999999999
12,4,-4.5,34.0212,-117.0212
13,3,-3.7,34.021300000000004,-117.0213
14,58,5.2,34.0214,-117.0214
15,61,6.0,34.0215,-117.02149999999999
16,65,5.7,34.02160000000001,-117.02159999999999
17,7,-4.8,34.0217,-117.0217
18,6,-5.1,34.021800000000006,-117.0218
19,4,-4.3,34.0219,-117.0219
